keShi,jianJie,mingCheng

中医综合,"
	嗳气是胃中气体上出咽喉所发出的声响，其声长而缓，俗称“打饱嗝”、“饱嗝”，是各种消化道疾病常见的症状之一。尤其是反流性食管炎、慢性胃炎、消化性溃疡和功能性消化不良，多伴有嗳气症状。自胃部上升的气体或酸性液体导致了嗳气(呃逆)的发生，伴有典型的响声。嗳气可因不同病因在持续时间和响度上发生改变。在过去几十年中发生的一些重要事件使人们对功能性胃肠病(FGID)有了更深入的了解。罗马III标准中将功能性胃十二指肠疾病的症状分为3类：功能性消化不良、嗳气和恶心呕吐。嗳气又分为：吞气症和非特异性过度嗳气。",嗳气
肾内科,"
	:(hyperaminoaciduria)以尿中排出过多氨基酸为特征的一类代谢疾病,可分为肾前性、肾性及混合性。各类高氨基酸尿症的治疗效果差别很大, 有些通过严格控制饮食中相应氨基酸的摄入或补充某些维生素，即可获良好效果;有些即使采取各种措施，使血浆氨基酸水平接近正常，也无法改善临床症状。是近端肾小管重吸收氨基酸障碍，使大量氨基酸从尿中排出。从尿中排出的氨基酸主要有甘氨酸、牛磺酸、甲基组氨酸等。此外，丝氨酸、苏氨酸、亮氨酸、苯丙氨酸等也可有少量排出。",氨基酸尿症
耳鼻喉科,"
	俗称为塌鼻梁，是鼻梁比正常高度低，鼻背呈不同程度凹陷的畸形，多由外伤、感染及先天畸形引起。隆鼻术的基本原理是在鼻部塌陷的部位充填材料，使鼻梁抬高至合适的程度，从而获得理想的鼻子形态。",鞍鼻
皮肤科,"
	指甲凹变，指的是指甲上出现一些横纹、竖纹以及斑点等等。不同甲形，不同体质。可能出现方形、扁形、扇形等。不同甲形，不同体质。可出现甲色偏白，甲色偏红等。",凹甲
消化内科,"
	嗳腐是指嗳气兼有腐臭味，胃内带食腐的气味从口中排出，叫“嗳腐”，《伤寒论》称为“乾噫食臭”。多见于消化不良。若从胃内排出的气体无味的，称为“嗳气”。《伤寒论》称“噫气”，俗称这种嗳气为“胃风”。多因中焦气滞，胸膈胀满，故嗳出才觉舒畅。多见于胃病及脾胃虚弱、肝胃不和的患者。",嗳腐
中医综合,"
	眠中出汗称之为“”。盗汗是中医的一个病证名，是以入睡后汗出异常，醒后汗泄即止为特征的一种病征。《金匮要略·水气篇》中“食已汗出 ,又常暮盗汗出者 ,此劳气也。”《景岳全书·》指出：“自汗盗汗亦各有阴阳之证 ，不得谓自汗必属 ,盗汗必属阴虚”。另外张景岳在《景岳全书·汗证》里还有“自汗盗汗 ，亦各有阴阳之证，不得谓自汗必属阳虚，盗汗必属阴虚。
	偶然盗汗对身体影响不大，但时间久了常会使病情恶化，向“”发展，严重威胁着患者的健康与生命安全。",夜间盗汗
产科,"
	胎儿生长发育迟缓(intrauterine growth retardation,IUGR):传统是以胎儿体重低于其胎龄平均体重的第10百分位或低于其平均体重的2个标准差而定。但与小于胎龄儿(small for gestational age,SGA)不完全相同，SGA为结构正常儿，不伴有营养不良，围生儿无不良结局。IUGR是由于病理原因造成的，不但影响胎儿期发育，也会影响儿童期和青春期的身体发育，其发生率为2.75%-15.53%，围生儿死亡率为正常胎儿的4-6倍。",胎儿生长发育迟缓
呼吸内科,"
	继发性又称成人型肺结核，为已感染过结核病的儿童，在原发病变已静止或甚至痊愈一个时期后，又发生了活动性肺结核，其发病有两种可能：一为陈旧的原发灶内结核杆菌又重趋活动，引起病灶复燃，称内源性复发;一为原发感染已治愈后再次由外界感染结核杆菌而发病，称外源性重染。续发性肺结核多见于12岁以上年长儿童及少年，主要病型为浸润型肺结核。",痰检阴性
普外科,"
	检查时见患者腰部僵硬，腰前凸消失，可有及骶棘肌痉挛。在损伤部位可找到明显压痛点。急性腰扭伤是腰部肌肉、筋膜、韧带等软组织因外力作用突然受到过度牵拉而引起的急性撕裂伤，常发生于搬抬重物、腰部肌肉强力收缩时。",腰部僵硬及腰前凸消失
