content,dynasty,name,author

"
昨夜夜半，枕上分明梦见。语多时。依旧桃花面，频低柳叶眉。",唐代,女冠子·昨夜夜半,韦庄
"
小山重叠金明灭，鬓云欲度香腮雪。懒起画蛾眉，弄妆梳洗迟。",唐代,菩萨蛮·小山重叠金明灭,温庭筠
"
劝君今夜须沉醉，尊前莫话明朝事。珍重主人心，酒深情亦深。",唐代,菩萨蛮·劝君今夜须沉醉,韦庄
"
人人尽说江南好，游人只合江南老。春水碧于天，画船听雨眠。",唐代,菩萨蛮·人人尽说江南好,韦庄
"
梳洗罢，独倚望江楼。过尽千帆皆不是，斜晖脉脉水悠悠。肠断白蘋洲。
",唐代,望江南·梳洗罢,温庭筠
"
兰烬落，屏上暗红蕉。闲梦江南梅熟日，夜船吹笛雨萧萧。人语驿边桥。
",唐代,梦江南·兰烬落,皇甫松
"
四月十七，正是去年今日，别君时。忍泪佯低面，含羞半敛眉。",唐代,女冠子·四月十七,韦庄
"
借问江潮与海水，何似君情与妾心？",唐代,浪淘沙·借问江潮与海水,白居易
"
红楼别夜堪惆怅，香灯半卷流苏帐。",唐代,菩萨蛮·红楼别夜堪惆怅,韦庄
"
菡萏香连十顷陂，小姑贪戏采莲迟。 ",唐代,采莲子·菡萏香莲十顷陂,皇甫松
"
柳丝长，桃叶小。深院断无人到。红日淡，绿烟晴。流莺三两声。 ",宋代,更漏子·柳丝长,晏几道
"
花非花，雾非雾。",唐代,花非花,白居易
"
",唐代,忆江南三首,白居易
"
斑竹枝，斑竹枝，泪痕点点寄相思。楚客欲听瑶瑟怨，潇湘深夜月明时。
",唐代,潇湘神·斑竹枝,刘禹锡
"
汴水流，泗水流，流到瓜州古渡头。吴山点点愁。",唐代,长相思·汴水流,白居易
"
明月别枝惊鹊，清风半夜鸣蝉。稻花香里说丰年，听取蛙声一片。 ",宋代,西江月·夜行黄沙道中,辛弃疾
"
江南好，风景旧曾谙。日出江花红胜火，春来江水绿如蓝。能不忆江南？
",唐代,忆江南·江南好,白居易
"
候蛩凄断。人语西风岸。月落沙平江似练。望尽芦花无雁。 ",宋代,清平乐·候蛩凄断,张炎
"
",宋代,八声甘州·记玉关踏雪事清游,张炎
"
",宋代,满江红·题南京夷山驿,王清惠
"
送春去。春去人间无路。秋千外，芳草连天，谁遣风沙暗南浦。依依甚意绪。漫忆海门飞絮。乱鸦过，斗转城荒，不见来时试灯处。 ",宋代,兰陵王·丙子送春,刘辰翁
"
天上低昂仰旧，人间儿女成狂。夜来处处试新妆。却是人间天上。 ",宋代,西江月·新秋写兴,刘辰翁
"
一勺西湖水。渡江来、百年歌舞，百年酣醉。回首洛阳花世界，烟渺黍离之地。更不复、新亭堕泪。簇乐红妆摇画艇，问中流、击楫谁人是。千古恨，几时洗。(花世界 一作：花石尽） ",宋代,贺新郎·西湖,文及翁
"
何处合成愁。离人心上秋。纵芭蕉、不雨也飕飕。都道晚凉天气好，有明月、怕登楼。 ",宋代,唐多令·惜别,吴文英
"
珠帘寂寂。愁背银缸泣。记得少年初选入。三十六宫第一。 ",宋代,清平乐·宫怨,黄升
"
渺空烟四远，是何年、青天坠长星？幻苍崖云树，名娃金屋，残霸宫城。箭径酸风射眼，腻水染花腥。时靸双鸳响，廊叶秋声。",宋代,八声甘州·灵岩陪庾幕诸公游,吴文英
"
听风听雨过清明。愁草瘗花铭。楼前绿暗分携路，一丝柳、一寸柔情。料峭春寒中酒，交加晓梦啼莺。 ",宋代,风入松·听风听雨过清明,吴文英
"
门隔花深梦旧游。夕阳无语燕归愁。玉纤香动小帘钩。 ",宋代,浣溪沙·门隔花深梦旧游,吴文英
"
花深深。柳阴阴。度柳穿花觅信音。君心负妾心。 ",宋代,长相思·花深深,陈东甫
"
",宋代,莺啼序·春晚感怀,吴文英
"
秋雨一何碧，山色倚晴空。江南江北愁思，分付酒螺红。芦叶蓬舟千重，菰菜莼羹一梦，无语寄归鸿。醉眼渺河洛，遗恨夕阳中。 ",宋代,水调歌头·平山堂用东坡韵,方岳
"
近清明。翠禽枝上消魂。可惜一片清歌，都付与黄昏。欲共柳花低诉，怕柳花轻薄，不解伤春。念楚乡旅宿，柔情别绪，谁与温存。 ",宋代,湘春夜月·近清明,黄孝迈
"
年年社日停针线。怎忍见、双飞燕。今日江城春已半。一身犹在，乱山深处，寂寞溪桥畔。",宋代,青玉案·年年社日停针线,黄公绍
"
花过雨。又是一番红素。燕子归来愁不语。旧巢无觅处。 ",宋代,谒金门·花过雨,李好古
"
壶山居士，未老心先懒。爱学道人家，办竹几、蒲团茗碗。青山可买，小结屋三间，开一径，俯清溪，修竹栽教满。 客来便请，随分家常饭。若肯小留连，更薄酒，三杯两盏，吟诗度曲，风月任招呼。身外事，不关心，自有天公管。
",宋代,蓦山溪·自述,宋自逊
"
家园十亩屋头边。正春妍，酿花天。杨柳多情，拂拂带轻烟。别馆闲亭随分有，时策杖，小盘旋。 ",宋代,江城子·示表侄刘国华,吴潜
"
红玉阶前，问何事、翩然引去。湖海上、一汀鸥鹭，半帆烟雨。报国无门空自怨，济时有策从谁吐。过垂虹亭下系扁舟，鲈堪煮。 ",宋代,满江红·送李御带珙,吴潜
"
少年听雨歌楼上。红烛昏罗帐。壮年听雨客舟中。江阔云低、断雁叫西风。 ",宋代,虞美人·听雨,蒋捷
"
一片春愁待酒浇。江上舟摇，楼上帘招。秋娘渡与泰娘桥，风又飘飘，雨又萧萧。（渡 一作：度。桥 一作：娇）",宋代,一剪梅·舟过吴江,蒋捷
"
片片蝶衣轻，点点猩红小。道是天公不惜花，百种千般巧。 ",宋代,卜算子·片片蝶衣轻,刘克庄
"
湛湛长空黑。更那堪、斜风细雨，乱愁如织。老眼平生空四海，赖有高楼百尺。看浩荡、千崖秋色。白发书生神州泪，尽凄凉、不向牛山滴。追往事，去无迹。 ",宋代,贺新郎·九日,刘克庄
"
寒相催。暖相催。催了开时催谢时。丁宁花放迟。 ",宋代,长相思·惜梅,刘克庄
"
春风只在园西畔。荠菜花繁胡蝶乱。冰池晴绿照还空，香径落红吹已断。 ",宋代,玉楼春·春思,严仁
"
北望神州路。试平章、这场公事，怎生分付。记得太行山百万，曾入宗爷驾驭。今把作、握蛇骑虎。君去京东豪杰喜，想投戈、下拜真吾父。谈笑里，定齐鲁。 ",宋代,贺新郎·送陈真州子华,刘克庄
"
年年跃马长安市。客舍似家家似寄。青钱换酒日无何，红烛呼卢宵不寐。 ",宋代,玉楼春·戏林推,刘克庄
"
寒江夜宿。长啸江之曲。水底鱼龙惊动，风卷地、浪翻屋。 ",宋代,霜天晓角·仪真江上夜泊,黄机
"
一卷阴符，二石硬弓，百斤宝刀。更玉花骢喷，鸣鞭电抹，乌丝阑展，醉墨龙跳。牛角书生，虬髯豪客，谈笑皆堪折简招。依稀记，曾请缨系粤，草檄征辽。 ",宋代,沁园春·答九华叶贤良,刘克庄
"
莫上玉楼看。花雨斑斑。四垂罗幕护朝寒。燕子不知人去也，飞认阑干。 ",宋代,浪淘沙·莫上玉楼看,韩疁
"
春讯飞琼管。风日薄、度墙啼鸟声乱。江城次第，笙歌翠合，绮罗香暖。溶溶涧渌冰泮。醉梦里、年华暗换。料黛眉重锁隋堤，芳心还动梁苑。 ",宋代,宴清都·初春,卢祖皋
"
画楼帘幕卷新晴。掩银屏。晓寒轻。坠粉飘香，日日唤愁生。暗数十年湖上路，能几度，著娉婷。 ",宋代,江城子·画楼帘暮卷新晴,卢祖皋
"
一春长费买花钱，日日醉湖边。玉骢惯识西湖路，骄嘶过、沽酒楼前。红杏香中箫鼓，绿杨影里秋千。",宋代,风入松·一春长费买花钱,俞国宝
"
做冷欺花，将烟困柳，千里偷催春暮。尽日冥迷，愁里欲飞还住。惊粉重、蝶宿西园，喜泥润、燕归南浦。最妨它、佳约风流，钿车不到杜陵路。 ",宋代,绮罗香·咏春雨,史达祖
